1,I,VXIO456XLBB630221,Nissan,Altima,2003,2002-05-08,Initial sales from TechMotors
2,I,INU45KIOOPA343980,Mercedes,C300,2015,2014-01-01,Sold from EuroMotors
3,A,VXIO456XLBB630221,,,,2014-07-02,Head on collision
4,R,VXIO456XLBB630221,,,,2014-08-05,Repair transmission
5,I,VOME254OOXW344325,Mercedes,E350,2015,2014-02-01,Sold from Carmax
6,R,VOME254OOXW344325,,,,2015-02-06,Wheel allignment service
7,R,VXIO456XLBB630221,,,,2015-01-01,Replace right head light
8,I,EXOA00341AB123456,Mercedes,SL550,2016,2015-01-01,Sold from AceCars
9,A,VOME254OOXW344325,,,,2015-10-01,Side collision
10,R,VOME254OOXW344325,,,,2015-09-01,Changed tires
11,R,EXOA00341AB123456,,,,2015-05-01,Repair engine
12,A,EXOA00341AB123456,,,,2015-05-03,Vehicle rollover
13,R,VOME254OOXW344325,,,,2015-09-01,Replace passenger side door
14,I,UXIA769ABCC447906,Toyota,Camery,2017,2016-05-08,Initial sales from Carmax
15,R,UXIA769ABCC447906,,,,2020-01-02,Initial sales from Carmax
16,A,INU45KIOOPA343980,,,,2020-05-01,Side collision
17,I,VXIO456XLBB630221,Nissan,Altima,2003,2002-05-08,Initial sales from TechMotors
18,I,INU45KIOOPA343980,Mercedes,C300,2015,2014-01-01,Sold from EuroMotors
19,A,VXIO456XLBB630221,,,,2014-07-02,Head-on collision
20,R,VXIO456XLBB630221,,,,2014-08-05,Repair transmission
21,I,VOME254OOXW344325,Mercedes,E350,2015,2014-02-01,Sold from Carmax
22,R,VOME254OOXW344325,,,,2015-02-06,Wheel alignment service
23,R,VXIO456XLBB630221,,,,2015-01-01,Replace right headlight
24,I,EXOA00341AB123456,Mercedes,SL550,2016,2015-01-01,Sold from AceCars
25,A,VOME254OOXW344325,,,,2015-10-01,Side collision
26,R,VOME254OOXW344325,,,,2015-09-01,Changed tires
27,R,EXOA00341AB123456,,,,2015-05-01,Repair engine
28,A,EXOA00341AB123456,,,,2015-05-03,Vehicle rollover
29,R,VOME254OOXW344325,,,,2015-09-01,Replace passenger side door
